"date","geography","geography code","Rural Urban","Qualification: All usual residents aged 16 and over; measures: Value","Qualification: No qualifications; measures: Value","Qualification: 1-4 O levels/CSE/GCSEs (any grades), Entry Level, Foundation Diploma; measures: Value","Qualification: NVQ Level 1, Foundation GNVQ, Basic Skills; measures: Value","Qualification: 5+ O level (Passes)/CSEs (Grade 1)/GCSEs (Grades A*-C), School Certificate, 1 A level/2-3 AS levels/VCEs, Higher Diploma, Welsh Baccalaureate Intermediate Diploma; measures: Value","Qualification: NVQ Level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First/General Diploma, RSA Diploma; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: 2+ A levels/VCEs, 4+ AS levels, Higher School Certificate, Progression/Advanced Diploma, Welsh Baccalaureate Advanced Diploma; measures: Value","Qualification: NVQ Level 3, Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma; measures: Value","Qualification: Degree (for example BA, BSc), Higher degree (for example MA, PhD, PGCE); measures: Value","Qualification: NVQ Level 4-5, HNC, HND, RSA Higher Diploma, BTEC Higher Level; measures: Value","Qualification: Professional qualifications (for example teaching, nursing, accountancy); measures: Value","Qualification: Other vocational/work-related qualifications; measures: Value","Qualification: Foreign qualifications; measures: Value"
"2011","Darlington","E06000005","Total",85357,21179,29795,9503,26712,16052,7637,11830,12389,10575,4870,11832,16565,2062
"2011","County Durham","E06000047","Total",425258,116948,146611,47907,129173,81073,32904,60161,57960,48713,21573,52051,78755,7143
"2011","Hartlepool","E06000001","Total",74228,22758,24534,9342,18650,15263,7376,6832,10682,6176,3596,7492,13500,1088
"2011","Middlesbrough","E06000002","Total",110409,33002,36378,13061,28165,20766,8704,12055,14418,11188,4710,10485,17898,3704
"2011","Northumberland","E06000057","Total",262162,62584,92799,27256,89642,48014,21181,41430,34619,36023,13806,41120,53019,3654
"2011","Redcar and Cleveland","E06000003","Total",111011,31550,38935,13928,29433,23884,11587,11064,16729,10066,5393,12237,22050,1065
"2011","Stockton-on-Tees","E06000004","Total",154503,36728,56556,18985,48790,31787,15458,20778,22832,18927,8455,19713,30123,3137
"2011","Gateshead","E08000037","Total",164716,46192,56833,18901,47494,30094,14277,22246,20660,21284,8068,17972,27714,3985
"2011","Newcastle upon Tyne","E08000021","Total",232203,54885,75233,20884,85990,31150,12980,59192,21956,46552,8648,28518,32620,14538
"2011","North Tyneside","E08000022","Total",165088,39157,58663,17669,55220,29004,14779,26654,21432,24756,8801,23258,30753,3342
"2011","South Tyneside","E08000023","Total",122200,34189,43311,15414,32507,24211,12976,12083,17172,11588,6451,13183,22432,1893
"2011","Sunderland","E08000024","Total",227314,66036,79614,27884,59159,42545,19561,23458,28785,21839,10195,22416,38031,4434
"2011","Blackburn with Darwen","E06000008","Total",113122,32485,36429,11338,29184,18642,8156,12224,14027,12271,5372,11954,17164,6392
