"date","geography","geography code","Rural Urban","General Health: All categories: General health; measures: Value","General Health: Very good health; measures: Value","General Health: Good health; measures: Value","General Health: Fair health; measures: Value","General Health: Bad health; measures: Value","General Health: Very bad health; measures: Value"
"2011","Darlington","E06000005","Total",105564,47046,37199,15116,4763,1440
"2011","County Durham","E06000047","Total",513242,217373,171564,82404,32568,9333
"2011","Hartlepool","E06000001","Total",92028,39816,30117,14607,5789,1699
"2011","Middlesbrough","E06000002","Total",138412,62855,45295,19719,8001,2542
"2011","Northumberland","E06000057","Total",316028,138990,108458,48580,15641,4359
"2011","Redcar and Cleveland","E06000003","Total",135177,57285,45844,21449,8184,2415
"2011","Stockton-on-Tees","E06000004","Total",191610,88811,64282,26385,9296,2836
"2011","Gateshead","E08000037","Total",200214,85320,67807,31158,12152,3777
"2011","Newcastle upon Tyne","E08000021","Total",280177,133933,89096,38018,14793,4337
"2011","North Tyneside","E08000022","Total",200801,90031,66955,30156,10638,3021
"2011","South Tyneside","E08000023","Total",148127,63345,48861,23700,9394,2827
"2011","Sunderland","E08000024","Total",275506,117365,90557,43951,18155,5478
"2011","Blackburn with Darwen","E06000008","Total",147489,66991,49010,20725,8428,2335
"2011","Blackpool","E06000009","Total",142065,56600,48022,23977,10346,3120
"2011","Cheshire East","E06000049","Total",370127,181595,123065,47306,14247,3914
"2011","Cheshire West and Chester","E06000050","Total",329608,159777,108967,42604,14259,4001
"2011","Halton","E06000006","Total",125746,58684,39693,17504,7732,2133
"2011","Warrington","E06000007","Total",202228,100734,66223,24446,8466,2359
"2011","Allerdale","E07000026","Total",96422,42887,33297,14210,4762,1266
"2011","Barrow-in-Furness","E07000027","Total",69087,29538,22865,10898,4542,1244
"2011","Carlisle","E07000028","Total",107524,48593,37494,15030,4964,1443
"2011","Copeland","E07000029","Total",70603,31329,23938,10516,3760,1060
"2011","Eden","E07000030","Total",52564,24210,18810,7195,1875,474
"2011","South Lakeland","E07000031","Total",103658,48461,36385,14117,3701,994
"2011","Bolton","E08000001","Total",276786,125548,93765,39139,14465,3869
"2011","Bury","E08000002","Total",185060,87128,61634,25430,8539,2329
"2011","Manchester","E08000003","Total",503127,245334,159452,62651,27014,8676
"2011","Oldham","E08000004","Total",224897,101526,74987,32778,12179,3427
"2011","Rochdale","E08000005","Total",211699,94233,70158,31303,12453,3552
"2011","Salford","E08000006","Total",233933,107689,75685,32849,13741,3969
"2011","Stockport","E08000007","Total",283275,135500,94251,37601,12505,3418
"2011","Tameside","E08000008","Total",219324,96404,73918,33009,12492,3501
"2011","Trafford","E08000009","Total",226578,115496,71694,27549,9273,2566
"2011","Wigan","E08000010","Total",317849,144283,103934,46797,18112,4723
