"date","geography","geography code","Rural Urban","Marital Status: All usual residents aged 16+; measures: Value","Marital Status: Single (never married or never registered a same-sex civil partnership); measures: Value","Marital Status: Married; measures: Value","Marital Status: In a registered same-sex civil partnership; measures: Value","Marital Status: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Marital Status: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Marital Status: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"2011","Darlington","E06000005","Total",85357,27083,39963,135,2409,9165,6602
"2011","County Durham","E06000047","Total",425258,137980,200826,759,10708,41207,33778
"2011","Hartlepool","E06000001","Total",74228,25531,33211,116,1771,7392,6207
"2011","Middlesbrough","E06000002","Total",110409,43550,45718,160,2990,9736,8255
"2011","Northumberland","E06000057","Total",262162,72424,136537,475,6773,24397,21556
"2011","Redcar and Cleveland","E06000003","Total",111011,35417,52689,141,2594,10834,9336
"2011","Stockton-on-Tees","E06000004","Total",154503,51272,73450,242,4073,14400,11066
"2011","Gateshead","E08000037","Total",164716,58237,73141,523,4386,15412,13017
"2011","Newcastle upon Tyne","E08000021","Total",232203,108033,84121,575,5697,18565,15212
"2011","North Tyneside","E08000022","Total",165088,53347,76835,316,4690,16724,13176
"2011","South Tyneside","E08000023","Total",122200,41841,53528,163,3460,12546,10662
"2011","Sunderland","E08000024","Total",227314,80195,102531,313,5530,20823,17922
"2011","Blackburn with Darwen","E06000008","Total",113122,37958,53882,201,3423,10148,7510
"2011","Blackpool","E06000009","Total",116699,41198,45522,543,3706,15318,10412
"2011","Cheshire East","E06000049","Total",304374,86618,158540,563,6708,28426,23519
"2011","Cheshire West and Chester","E06000050","Total",271473,83980,135483,428,5638,25167,20777
"2011","Halton","E06000006","Total",100819,35659,45287,217,2470,9880,7306
"2011","Warrington","E06000007","Total",163477,51409,81175,241,3855,15407,11390
"2011","Allerdale","E07000026","Total",80155,22417,41663,134,1533,7384,7024
"2011","Barrow-in-Furness","E07000027","Total",56796,17832,26555,85,1297,6262,4765
"2011","Carlisle","E07000028","Total",89042,28667,42098,163,2224,8627,7263
"2011","Copeland","E07000029","Total",58613,17415,29909,108,1136,5376,4669
"2011","Eden","E07000030","Total",43976,11818,23930,77,742,3788,3621
"2011","South Lakeland","E07000031","Total",87777,22934,47305,170,1566,8086,7716
"2011","Bolton","E08000001","Total",219710,73807,102220,391,6235,21110,15947
"2011","Bury","E08000002","Total",147935,48695,70088,253,4323,14003,10573
"2011","Manchester","E08000003","Total",405709,222585,119191,1363,13141,28840,20589
"2011","Oldham","E08000004","Total",174438,57756,81210,217,5813,15923,13519
"2011","Rochdale","E08000005","Total",166916,58665,73823,293,5648,16251,12236
"2011","Salford","E08000006","Total",188780,81837,69938,627,5910,17165,13303
"2011","Stockport","E08000007","Total",229822,73942,110934,385,5749,21084,17728
"2011","Tameside","E08000008","Total",176616,62337,76883,326,5221,18372,13477
"2011","Trafford","E08000009","Total",180754,60002,87847,397,4350,15350,12808
"2011","Wigan","E08000010","Total",257825,84705,122180,482,6536,25412,18510
"2011","Burnley","E07000117","Total",69915,23371,31340,102,2174,7461,5467
"2011","Chorley","E07000118","Total",87532,26439,44004,138,2151,8732,6068
"2011","Fylde","E07000119","Total",63757,16849,32457,111,1542,6647,6151
"2011","Hyndburn","E07000120","Total",64092,21126,29303,65,2080,6752,4766
"2011","Lancaster","E07000121","Total",115405,43010,49911,290,2514,10993,8687
"2011","Pendle","E07000122","Total",71128,22180,34213,99,2052,7272,5312
"2011","Preston","E07000123","Total",113422,46440,46865,178,2740,9844,7355
"2011","Ribble Valley","E07000124","Total",46552,12063,25429,65,1058,4167,3770
"2011","Rossendale","E07000125","Total",54811,17787,25539,111,1655,5697,4022
"2011","South Ribble","E07000126","Total",89163,26336,45821,136,2103,8232,6535
"2011","West Lancashire","E07000127","Total",90712,28307,45457,98,2085,7807,6958
"2011","Wyre","E07000128","Total",90467,23674,46940,256,2033,8975,8589
"2011","Knowsley","E08000011","Total",117225,47288,46981,167,3541,9805,9443
"2011","Liverpool","E08000012","Total",388315,193012,125326,636,11738,31538,26065
"2011","Sefton","E08000014","Total",226435,74992,104250,373,5367,21124,20329
"2011","St. Helens","E08000013","Total",143372,47055,67661,233,3709,13259,11455
"2011","Wirral","E08000015","Total",260498,88202,116267,466,6681,26806,22076
