"date","geography","geography code","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"2011","Darlington","E06000005","Total",105564,73433,71122,307,317,45,971,361,310,25415,6716
"2011","County Durham","E06000047","Total",513242,375599,369715,1001,607,208,1934,609,1525,107281,30362
"2011","Hartlepool","E06000001","Total",92028,65642,64349,152,168,9,689,97,178,20507,5879
"2011","Middlesbrough","E06000002","Total",138412,99084,87511,370,591,45,9757,564,246,30797,8531
"2011","Northumberland","E06000057","Total",316028,220247,216673,578,335,169,1018,494,980,75620,20161
"2011","Redcar and Cleveland","E06000003","Total",135177,96398,95111,187,64,33,598,43,362,30054,8725
"2011","Stockton-on-Tees","E06000004","Total",191610,137030,130723,388,675,94,4143,625,382,42910,11670
"2011","Gateshead","E08000037","Total",200214,140980,134075,423,497,3004,2096,356,529,47758,11476
"2011","Newcastle upon Tyne","E08000021","Total",280177,183193,158138,1701,3144,671,17561,1223,755,79345,17639
"2011","North Tyneside","E08000022","Total",200801,131601,128185,436,513,92,1493,354,528,56408,12792
"2011","South Tyneside","E08000023","Total",148127,108264,104090,223,254,57,2854,424,362,31247,8616
"2011","Sunderland","E08000024","Total",275506,199850,193642,550,607,76,3650,814,511,60358,15298
"2011","Blackburn with Darwen","E06000008","Total",147489,118806,77599,306,574,54,39817,161,295,20374,8309
"2011","Blackpool","E06000009","Total",142065,98158,95426,450,337,252,1061,61,571,34815,9092
"2011","Cheshire East","E06000049","Total",370127,261513,254940,882,1328,581,2438,279,1065,83973,24641
"2011","Cheshire West and Chester","E06000050","Total",329608,235540,231126,776,653,250,1686,195,854,72649,21419
"2011","Halton","E06000006","Total",125746,95393,94314,216,194,44,267,55,303,23543,6810
"2011","Warrington","E06000007","Total",202228,149098,144405,457,1118,147,2097,361,513,41293,11837
"2011","Allerdale","E07000026","Total",96422,73386,72716,183,39,19,192,9,228,16677,6359
"2011","Barrow-in-Furness","E07000027","Total",69087,49442,48830,150,101,15,172,7,167,15252,4393
"2011","Carlisle","E07000028","Total",107524,75592,74296,277,241,17,455,27,279,24626,7306
"2011","Copeland","E07000029","Total",70603,56314,55687,148,81,17,227,8,146,10147,4142
"2011","Eden","E07000030","Total",52564,37645,37165,130,42,31,115,6,156,10882,4037
"2011","South Lakeland","E07000031","Total",103658,71735,70541,465,55,104,175,7,388,23912,8011
