date,geography,geography code,Rural Urban,Economic Activity: All categories: Economic activity; measures: Value,Economic Activity: Economically active: Total; measures: Value,Economic Activity: Economically active: Employee: Part-time; measures: Value,Economic Activity: Economically active: Employee: Full-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value,Economic Activity: Economically active: Unemployed; measures: Value,Economic Activity: Economically active: Full-time student; measures: Value,Economic Activity: Economically inactive: Total; measures: Value,Economic Activity: Economically inactive: Retired; measures: Value,Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Economic Activity: Economically inactive: Looking after home or family; measures: Value,Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Economic Activity: Economically inactive: Other; measures: Value
2011,Darlington,E06000005,Total,76635,69.74,15.08,39.59,0.31,1.64,1.68,3.68,5.22,2.55,30.26,15.94,3.58,4.02,4.88,1.85
2011,County Durham,E06000047,Total,383796,64.38,13.18,37.5,0.27,1.49,1.51,3.32,4.43,2.67,35.62,17.05,6.21,3.7,6.48,2.17
2011,Hartlepool,E06000001,Total,66804,65.14,15.11,33.88,0.32,1.27,1.34,2.78,7.77,2.67,34.86,15.9,4.55,4.89,7.08,2.44
2011,Middlesbrough,E06000002,Total,100551,63.23,14.98,31.13,0.3,1.06,1.32,2.46,7.59,4.39,36.77,13.85,7.41,5.54,6.8,3.17
2011,Northumberland,E06000057,Total,233224,67.86,14.74,37.04,0.43,2.29,2.21,4.53,4.43,2.2,32.14,18.82,3.48,3.59,4.43,1.83
2011,Redcar and Cleveland,E06000003,Total,99177,64.06,15.45,33.65,0.29,1.25,1.45,2.93,6.59,2.46,35.94,19.37,4.18,4.4,5.92,2.09
2011,Stockton-on-Tees,E06000004,Total,140654,68.44,15.69,37.63,0.29,1.43,1.51,3.12,5.74,3.02,31.56,14.76,5.17,4.2,4.88,2.54
2011,Gateshead,E08000037,Total,148079,67.66,14.2,39.84,0.24,1.27,1.39,3.04,5.01,2.67,32.34,15.89,4.61,3.83,5.97,2.04
2011,Newcastle upon Tyne,E08000021,Total,212864,62.88,12.14,32.8,0.32,1.42,1.51,2.93,5.0,6.77,37.12,11.54,13.74,4.17,5.41,2.26
2011,North Tyneside,E08000022,Total,147889,70.49,14.75,41.48,0.24,1.4,1.54,3.34,4.94,2.8,29.51,15.89,3.59,3.41,4.97,1.65
2011,South Tyneside,E08000023,Total,108981,66.66,14.2,37.47,0.27,1.27,1.18,2.75,6.56,2.97,33.34,15.92,4.23,4.31,6.64,2.24
2011,Sunderland,E08000024,Total,205552,65.9,14.2,36.92,0.29,1.23,1.36,2.71,5.85,3.35,34.1,15.67,5.24,4.22,6.85,2.11
2011,Blackburn with Darwen,E06000008,Total,104417,64.2,13.92,34.09,0.5,1.63,1.96,3.57,5.34,3.19,35.8,12.69,5.81,6.76,7.07,3.48
2011,Blackpool,E06000009,Total,103813,66.02,14.29,32.97,0.34,1.59,2.33,5.35,6.1,3.06,33.98,16.19,3.67,3.8,7.93,2.39
2011,Cheshire East,E06000049,Total,270953,70.59,14.37,39.44,0.44,2.41,2.85,5.02,3.23,2.82,29.41,17.14,4.19,3.54,3.07,1.47
2011,Cheshire West and Chester,E06000050,Total,243155,70.23,14.89,39.33,0.36,1.94,2.35,4.33,3.68,3.34,29.77,16.41,4.42,3.55,3.94,1.46
2011,Halton,E06000006,Total,92708,68.4,14.13,40.15,0.21,1.14,1.33,3.17,5.56,2.72,31.6,14.38,4.16,4.21,6.96,1.89
2011,Warrington,E06000007,Total,149461,72.1,14.57,42.74,0.32,1.6,1.93,3.93,3.99,3.03,27.9,14.85,3.64,3.29,4.06,2.06
2011,Allerdale,E07000026,Total,70978,68.9,16.36,36.51,0.5,2.5,2.17,5.13,3.6,2.14,31.1,18.91,3.0,3.2,4.53,1.46
2011,Barrow-in-Furness,E07000027,Total,51103,66.33,16.57,36.64,0.33,1.27,1.65,2.93,4.63,2.32,33.67,17.94,3.16,3.55,7.28,1.75
2011,Carlisle,E07000028,Total,79531,71.93,16.72,39.18,0.4,2.09,1.9,4.8,3.58,3.26,28.07,15.5,3.49,2.91,4.67,1.49
2011,Copeland,E07000029,Total,52702,67.05,15.15,38.95,0.3,1.61,1.43,3.63,4.24,1.74,32.95,18.32,3.03,3.65,5.45,2.5
