date,geography,geography code,Rural Urban,Qualification: All usual residents aged 16 and over; measures: Value,Qualification: No qualifications; measures: Value,"Qualification: 1-4 O levels/CSE/GCSEs (any grades), Entry Level, Foundation Diploma; measures: Value","Qualification: NVQ Level 1, Foundation GNVQ, Basic Skills; measures: Value","Qualification: 5+ O level (Passes)/CSEs (Grade 1)/GCSEs (Grades A*-C), School Certificate, 1 A level/2-3 AS levels/VCEs, Higher Diploma, Welsh Baccalaureate Intermediate Diploma; measures: Value","Qualification: NVQ Level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First/General Diploma, RSA Diploma; measures: Value",Qualification: Apprenticeship; measures: Value,"Qualification: 2+ A levels/VCEs, 4+ AS levels, Higher School Certificate, Progression/Advanced Diploma, Welsh Baccalaureate Advanced Diploma; measures: Value","Qualification: NVQ Level 3, Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma; measures: Value","Qualification: Degree (for example BA, BSc), Higher degree (for example MA, PhD, PGCE); measures: Value","Qualification: NVQ Level 4-5, HNC, HND, RSA Higher Diploma, BTEC Higher Level; measures: Value","Qualification: Professional qualifications (for example teaching, nursing, accountancy); measures: Value",Qualification: Other vocational/work-related qualifications; measures: Value,Qualification: Foreign qualifications; measures: Value
2011,Darlington,E06000005,Total,85357,24.81,34.91,11.13,31.29,18.81,8.95,13.86,14.51,12.39,5.71,13.86,19.41,2.42
2011,County Durham,E06000047,Total,425258,27.5,34.48,11.27,30.38,19.06,7.74,14.15,13.63,11.45,5.07,12.24,18.52,1.68
2011,Hartlepool,E06000001,Total,74228,30.66,33.05,12.59,25.13,20.56,9.94,9.2,14.39,8.32,4.84,10.09,18.19,1.47
2011,Middlesbrough,E06000002,Total,110409,29.89,32.95,11.83,25.51,18.81,7.88,10.92,13.06,10.13,4.27,9.5,16.21,3.35
2011,Northumberland,E06000057,Total,262162,23.87,35.4,10.4,34.19,18.31,8.08,15.8,13.21,13.74,5.27,15.68,20.22,1.39
2011,Redcar and Cleveland,E06000003,Total,111011,28.42,35.07,12.55,26.51,21.51,10.44,9.97,15.07,9.07,4.86,11.02,19.86,0.96
2011,Stockton-on-Tees,E06000004,Total,154503,23.77,36.61,12.29,31.58,20.57,10.0,13.45,14.78,12.25,5.47,12.76,19.5,2.03
2011,Gateshead,E08000037,Total,164716,28.04,34.5,11.47,28.83,18.27,8.67,13.51,12.54,12.92,4.9,10.91,16.83,2.42
2011,Newcastle upon Tyne,E08000021,Total,232203,23.64,32.4,8.99,37.03,13.41,5.59,25.49,9.46,20.05,3.72,12.28,14.05,6.26
2011,North Tyneside,E08000022,Total,165088,23.72,35.53,10.7,33.45,17.57,8.95,16.15,12.98,15.0,5.33,14.09,18.63,2.02
2011,South Tyneside,E08000023,Total,122200,27.98,35.44,12.61,26.6,19.81,10.62,9.89,14.05,9.48,5.28,10.79,18.36,1.55
2011,Sunderland,E08000024,Total,227314,29.05,35.02,12.27,26.03,18.72,8.61,10.32,12.66,9.61,4.48,9.86,16.73,1.95
2011,Blackburn with Darwen,E06000008,Total,113122,28.72,32.2,10.02,25.8,16.48,7.21,10.81,12.4,10.85,4.75,10.57,15.17,5.65
2011,Blackpool,E06000009,Total,116699,31.33,32.06,10.45,24.0,17.68,6.9,8.72,11.96,6.83,4.16,8.79,16.7,2.44
2011,Cheshire East,E06000049,Total,304374,19.65,34.52,7.63,41.92,15.3,7.73,21.74,12.71,19.42,5.86,17.69,18.77,2.84
2011,Cheshire West and Chester,E06000050,Total,271473,20.97,35.74,8.48,39.31,16.2,7.7,20.45,12.84,17.94,5.66,16.19,18.87,2.53
2011,Halton,E06000006,Total,100819,26.91,36.78,11.49,28.52,19.17,7.2,10.88,13.14,8.83,4.84,9.35,17.36,1.2
2011,Warrington,E06000007,Total,163477,20.68,36.93,9.72,36.87,17.09,7.85,17.62,13.47,15.82,6.1,15.05,18.51,2.95
