date,geography,geography code,Rural Urban,General Health: All categories: General health; measures: Value,General Health: Very good health; measures: Value,General Health: Good health; measures: Value,General Health: Fair health; measures: Value,General Health: Bad health; measures: Value,General Health: Very bad health; measures: Value
2011,Darlington,E06000005,Total,105564,44.57,35.24,14.32,4.51,1.36
2011,County Durham,E06000047,Total,513242,42.35,33.43,16.06,6.35,1.82
2011,Hartlepool,E06000001,Total,92028,43.27,32.73,15.87,6.29,1.85
2011,Middlesbrough,E06000002,Total,138412,45.41,32.72,14.25,5.78,1.84
2011,Northumberland,E06000057,Total,316028,43.98,34.32,15.37,4.95,1.38
2011,Redcar and Cleveland,E06000003,Total,135177,42.38,33.91,15.87,6.05,1.79
2011,Stockton-on-Tees,E06000004,Total,191610,46.35,33.55,13.77,4.85,1.48
2011,Gateshead,E08000037,Total,200214,42.61,33.87,15.56,6.07,1.89
2011,Newcastle upon Tyne,E08000021,Total,280177,47.8,31.8,13.57,5.28,1.55
2011,North Tyneside,E08000022,Total,200801,44.84,33.34,15.02,5.3,1.5
2011,South Tyneside,E08000023,Total,148127,42.76,32.99,16.0,6.34,1.91
2011,Sunderland,E08000024,Total,275506,42.6,32.87,15.95,6.59,1.99
2011,Blackburn with Darwen,E06000008,Total,147489,45.42,33.23,14.05,5.71,1.58
2011,Blackpool,E06000009,Total,142065,39.84,33.8,16.88,7.28,2.2
2011,Cheshire East,E06000049,Total,370127,49.06,33.25,12.78,3.85,1.06
2011,Cheshire West and Chester,E06000050,Total,329608,48.47,33.06,12.93,4.33,1.21
2011,Halton,E06000006,Total,125746,46.67,31.57,13.92,6.15,1.7
2011,Warrington,E06000007,Total,202228,49.81,32.75,12.09,4.19,1.17
2011,Allerdale,E07000026,Total,96422,44.48,34.53,14.74,4.94,1.31
2011,Barrow-in-Furness,E07000027,Total,69087,42.75,33.1,15.77,6.57,1.8
2011,Carlisle,E07000028,Total,107524,45.19,34.87,13.98,4.62,1.34
2011,Copeland,E07000029,Total,70603,44.37,33.91,14.89,5.33,1.5
2011,Eden,E07000030,Total,52564,46.06,35.78,13.69,3.57,0.9
2011,South Lakeland,E07000031,Total,103658,46.75,35.1,13.62,3.57,0.96
2011,Bolton,E08000001,Total,276786,45.36,33.88,14.14,5.23,1.4
2011,Bury,E08000002,Total,185060,47.08,33.3,13.74,4.61,1.26
2011,Manchester,E08000003,Total,503127,48.76,31.69,12.45,5.37,1.72
2011,Oldham,E08000004,Total,224897,45.14,33.34,14.57,5.42,1.52
2011,Rochdale,E08000005,Total,211699,44.51,33.14,14.79,5.88,1.68
2011,Salford,E08000006,Total,233933,46.03,32.35,14.04,5.87,1.7
2011,Stockport,E08000007,Total,283275,47.83,33.27,13.27,4.41,1.21
2011,Tameside,E08000008,Total,219324,43.96,33.7,15.05,5.7,1.6
2011,Trafford,E08000009,Total,226578,50.97,31.64,12.16,4.09,1.13
2011,Wigan,E08000010,Total,317849,45.39,32.7,14.72,5.7,1.49
2011,Burnley,E07000117,Total,87059,42.93,33.64,15.72,5.99,1.73
2011,Chorley,E07000118,Total,107155,47.88,33.32,13.27,4.31,1.22
2011,Fylde,E07000119,Total,75757,44.64,33.78,15.34,4.87,1.37
2011,Hyndburn,E07000120,Total,80734,43.05,34.2,15.14,5.95,1.66
2011,Lancaster,E07000121,Total,138375,46.67,33.84,13.7,4.49,1.3
2011,Pendle,E07000122,Total,89452,43.56,34.46,15.01,5.5,1.46
2011,Preston,E07000123,Total,140202,46.56,34.12,13.26,4.74,1.32
2011,Ribble Valley,E07000124,Total,57132,51.49,32.16,12.34,3.16,0.85
2011,Rossendale,E07000125,Total,67982,46.24,33.11,14.13,5.11,1.41
2011,South Ribble,E07000126,Total,109057,47.69,34.12,13.06,4.1,1.03
2011,West Lancashire,E07000127,Total,110685,47.59,32.73,13.37,4.86,1.45
2011,Wyre,E07000128,Total,107749,43.25,33.62,15.95,5.52,1.66
2011,Knowsley,E08000011,Total,145893,46.03,29.82,14.68,7.29,2.18
2011,Liverpool,E08000012,Total,466415,46.73,30.47,14.03,6.68,2.08
2011,Sefton,E08000014,Total,273790,45.32,32.55,14.84,5.68,1.62
2011,St. Helens,E08000013,Total,175308,44.85,31.93,14.94,6.48,1.79
2011,Wirral,E08000015,Total,319783,46.29,31.92,14.29,5.77,1.73
2011,East Riding of Yorkshire,E06000011,Total,334179,45.19,34.97,14.46,4.15,1.24
2011,"Kingston upon Hull, City of",E06000010,Total,256406,43.12,34.93,14.86,5.48,1.61
2011,North East Lincolnshire,E06000012,Total,159616,44.01,35.04,14.9,4.7,1.35
2011,North Lincolnshire,E06000013,Total,167446,43.74,35.76,14.73,4.53,1.24
2011,York,E06000014,Total,198051,49.69,34.19,11.99,3.22,0.92
2011,Craven,E07000163,Total,55409,47.62,34.56,13.33,3.56,0.93
2011,Hambleton,E07000164,Total,89140,48.67,34.42,12.6,3.33,0.97
2011,Harrogate,E07000165,Total,157869,50.63,33.77,11.8,2.98,0.82
2011,Richmondshire,E07000166,Total,51965,51.34,33.45,11.52,2.93,0.76
2011,Ryedale,E07000167,Total,51751,45.52,35.7,14.16,3.57,1.05
2011,Scarborough,E07000168,Total,108793,41.58,35.59,16.17,5.25,1.41
2011,Selby,E07000169,Total,83449,48.35,34.3,12.77,3.6,0.97
2011,Barnsley,E08000016,Total,231221,41.6,33.58,16.42,6.61,1.79
2011,Doncaster,E08000017,Total,302402,43.56,34.05,15.13,5.62,1.64
2011,Rotherham,E08000018,Total,257280,43.23,33.91,15.27,5.87,1.72
2011,Sheffield,E08000019,Total,552698,46.73,33.35,13.7,4.83,1.39
2011,Bradford,E08000032,Total,522452,44.81,35.61,13.7,4.55,1.33
2011,Calderdale,E08000033,Total,203826,46.34,34.35,13.78,4.38,1.15
2011,Kirklees,E08000034,Total,422458,45.53,34.97,13.74,4.5,1.25
2011,Leeds,E08000035,Total,751485,48.08,33.8,12.71,4.19,1.22
2011,Wakefield,E08000036,Total,325837,42.75,34.04,15.53,5.99,1.7
2011,Derby,E06000015,Total,248752,44.96,35.0,14.15,4.59,1.31
2011,Leicester,E06000016,Total,329839,44.9,35.64,13.42,4.54,1.49
2011,Nottingham,E06000018,Total,305680,46.14,33.8,13.6,4.93,1.53
2011,Rutland,E06000017,Total,37369,50.38,34.03,12.13,2.7,0.76
2011,Amber Valley,E07000032,Total,122309,44.01,34.99,14.99,4.75,1.26
2011,Bolsover,E07000033,Total,75866,40.77,33.51,17.09,6.79,1.83
2011,Chesterfield,E07000034,Total,103788,41.69,34.32,16.36,5.98,1.64
2011,Derbyshire Dales,E07000035,Total,71116,47.09,34.71,13.66,3.48,1.06
2011,Erewash,E07000036,Total,112081,44.03,35.39,14.96,4.35,1.28
2011,High Peak,E07000037,Total,90892,47.51,34.08,13.21,4.07,1.12
2011,North East Derbyshire,E07000038,Total,99023,42.95,34.26,15.89,5.37,1.52
2011,South Derbyshire,E07000039,Total,94611,47.64,34.4,13.05,3.85,1.05
2011,Blaby,E07000129,Total,93915,47.51,35.81,12.53,3.28,0.88
2011,Charnwood,E07000130,Total,166100,48.11,35.3,12.41,3.29,0.89
2011,Harborough,E07000131,Total,85382,50.85,34.27,11.37,2.75,0.76
2011,Hinckley and Bosworth,E07000132,Total,105078,46.26,35.83,13.3,3.63,0.98
2011,Melton,E07000133,Total,50376,48.33,35.52,12.5,2.88,0.78
2011,North West Leicestershire,E07000134,Total,93468,45.45,35.52,13.88,3.99,1.15
2011,Oadby and Wigston,E07000135,Total,56170,45.19,36.62,13.4,3.71,1.09
2011,Boston,E07000136,Total,64637,40.69,37.48,15.86,4.73,1.24
2011,East Lindsey,E07000137,Total,136401,38.22,35.29,18.27,6.36,1.86
2011,Lincoln,E07000138,Total,93541,44.18,36.58,13.9,4.18,1.16
2011,North Kesteven,E07000139,Total,107766,45.99,35.11,13.86,3.9,1.14
2011,South Holland,E07000140,Total,88270,40.52,37.55,15.82,4.72,1.38
2011,South Kesteven,E07000141,Total,133788,46.81,35.13,13.28,3.74,1.04
2011,West Lindsey,E07000142,Total,89250,44.03,35.94,14.68,4.25,1.11
2011,Corby,E07000150,Total,61255,45.94,35.16,13.13,4.4,1.36
2011,Daventry,E07000151,Total,77843,48.44,35.27,12.07,3.31,0.91
2011,East Northamptonshire,E07000152,Total,86765,46.86,35.93,12.85,3.39,0.97
2011,Kettering,E07000153,Total,93475,46.04,36.34,12.88,3.72,1.01
2011,Northampton,E07000154,Total,212069,46.38,36.47,12.51,3.61,1.03
2011,South Northamptonshire,E07000155,Total,85189,50.72,34.87,11.01,2.64,0.77
2011,Wellingborough,E07000156,Total,75356,43.68,37.03,14.18,3.95,1.16
2011,Ashfield,E07000170,Total,119497,42.05,34.48,16.31,5.66,1.5
2011,Bassetlaw,E07000171,Total,112863,42.82,34.68,15.77,5.24,1.5
2011,Broxtowe,E07000172,Total,109487,45.51,34.96,14.26,4.13,1.14
2011,Gedling,E07000173,Total,113543,45.05,35.17,14.51,4.1,1.17
2011,Mansfield,E07000174,Total,104466,41.44,34.36,16.2,6.2,1.8
2011,Newark and Sherwood,E07000175,Total,114817,44.86,34.55,14.7,4.57,1.32
2011,Rushcliffe,E07000176,Total,111129,51.91,32.59,11.5,3.12,0.87
2011,"Herefordshire, County of",E06000019,Total,183477,45.71,35.15,13.91,4.06,1.17
2011,Shropshire,E06000051,Total,306129,46.49,34.92,13.55,3.91,1.13
2011,Stoke-on-Trent,E06000021,Total,249008,41.97,34.66,15.33,6.17,1.87
2011,Telford and Wrekin,E06000020,Total,166641,45.87,34.32,13.57,4.81,1.42
2011,Cannock Chase,E07000192,Total,97462,43.74,35.02,14.46,5.25,1.52
2011,East Staffordshire,E07000193,Total,113583,45.86,35.72,13.47,3.85,1.09
2011,Lichfield,E07000194,Total,100654,46.92,34.79,13.17,3.93,1.19
2011,Newcastle-under-Lyme,E07000195,Total,123871,44.65,34.48,14.37,5.1,1.4
2011,South Staffordshire,E07000196,Total,108131,45.34,35.5,13.78,4.1,1.27
2011,Stafford,E07000197,Total,130869,46.13,35.59,13.23,3.91,1.14
2011,Staffordshire Moorlands,E07000198,Total,97106,44.15,35.06,14.86,4.55,1.37
2011,Tamworth,E07000199,Total,76813,45.6,35.23,13.43,4.43,1.31
2011,North Warwickshire,E07000218,Total,62014,45.12,34.84,14.07,4.6,1.38
2011,Nuneaton and Bedworth,E07000219,Total,125252,43.98,35.33,14.48,4.81,1.4
2011,Rugby,E07000220,Total,100075,47.68,35.28,12.57,3.51,0.97
2011,Stratford-on-Avon,E07000221,Total,120485,48.22,34.83,12.71,3.36,0.88
2011,Warwick,E07000222,Total,137648,50.61,33.94,11.42,3.11,0.93
2011,Birmingham,E08000025,Total,1073045,45.53,33.91,13.87,5.04,1.65
2011,Coventry,E08000026,Total,316960,46.05,34.65,13.25,4.66,1.4
2011,Dudley,E08000027,Total,312925,42.45,35.76,15.28,5.09,1.42
2011,Sandwell,E08000028,Total,308063,41.93,34.76,15.61,5.9,1.8
2011,Solihull,E08000029,Total,206674,47.51,34.2,13.09,3.99,1.21
2011,Walsall,E08000030,Total,269323,42.15,35.14,15.47,5.56,1.68
2011,Wolverhampton,E08000031,Total,249470,41.79,35.34,15.67,5.53,1.66
2011,Bromsgrove,E07000234,Total,93637,49.05,33.43,12.69,3.72,1.1
2011,Malvern Hills,E07000235,Total,74631,45.57,35.07,14.06,3.94,1.36
2011,Redditch,E07000236,Total,84214,46.77,34.86,12.96,4.18,1.23
2011,Worcester,E07000237,Total,98768,47.44,34.93,12.78,3.83,1.03
2011,Wychavon,E07000238,Total,116944,46.36,35.61,13.35,3.71,0.98
2011,Wyre Forest,E07000239,Total,97975,43.61,35.19,15.19,4.64,1.36
2011,Bedford,E06000055,Total,157479,46.9,35.98,12.58,3.55,0.98
2011,Central Bedfordshire,E06000056,Total,254381,49.15,35.52,11.48,3.02,0.84
2011,Luton,E06000032,Total,203201,46.56,36.07,12.44,3.73,1.2
2011,Peterborough,E06000031,Total,183631,44.26,37.3,13.27,4.04,1.13
2011,Southend-on-Sea,E06000033,Total,173658,45.11,35.09,14.06,4.48,1.26
2011,Thurrock,E06000034,Total,157705,48.2,34.74,12.29,3.73,1.03
2011,Cambridge,E07000008,Total,123867,54.69,31.97,9.7,2.85,0.78
2011,East Cambridgeshire,E07000009,Total,83818,48.77,35.18,12.09,3.12,0.85
2011,Fenland,E07000010,Total,95262,39.45,37.83,16.54,4.82,1.36
2011,Huntingdonshire,E07000011,Total,169508,48.77,35.67,11.61,3.09,0.85
2011,South Cambridgeshire,E07000012,Total,148755,52.46,33.71,10.62,2.51,0.7
2011,Basildon,E07000066,Total,174497,46.25,34.95,13.26,4.21,1.32
2011,Braintree,E07000067,Total,147084,47.51,35.69,12.44,3.43,0.93
2011,Brentwood,E07000068,Total,73601,51.02,33.34,11.64,3.13,0.88
2011,Castle Point,E07000069,Total,88011,43.49,36.12,14.73,4.4,1.26
2011,Chelmsford,E07000070,Total,168310,50.19,34.72,11.44,2.84,0.81
2011,Colchester,E07000071,Total,173074,48.83,34.83,12.09,3.29,0.96
2011,Epping Forest,E07000072,Total,124659,49.26,33.75,12.38,3.56,1.04
2011,Harlow,E07000073,Total,81944,45.11,35.85,13.67,4.15,1.21
2011,Maldon,E07000074,Total,61629,46.2,35.63,13.42,3.67,1.08
2011,Rochford,E07000075,Total,83287,47.76,34.92,13.01,3.38,0.94
2011,Tendring,E07000076,Total,138048,38.42,35.82,18.15,5.83,1.78
2011,Uttlesford,E07000077,Total,79443,52.55,33.34,10.85,2.6,0.66
2011,Broxbourne,E07000095,Total,93609,47.71,35.33,12.33,3.59,1.04
2011,Dacorum,E07000096,Total,144847,50.34,34.05,11.58,3.16,0.87
2011,East Hertfordshire,E07000242,Total,137687,52.53,33.7,10.4,2.67,0.69
2011,Hertsmere,E07000098,Total,100031,51.54,32.88,11.43,3.21,0.94
2011,North Hertfordshire,E07000099,Total,127114,50.19,34.11,11.77,3.11,0.81
2011,St Albans,E07000240,Total,140664,55.12,31.86,9.81,2.5,0.71
2011,Stevenage,E07000243,Total,83957,47.06,35.68,12.69,3.55,1.02
2011,Three Rivers,E07000102,Total,87317,50.7,34.21,11.19,3.06,0.84
2011,Watford,E07000103,Total,90301,50.05,34.83,10.98,3.25,0.89
2011,Welwyn Hatfield,E07000241,Total,110535,50.89,33.92,11.24,3.1,0.85
2011,Breckland,E07000143,Total,130491,42.22,37.29,14.99,4.31,1.18
2011,Broadland,E07000144,Total,124646,44.3,36.99,14.02,3.61,1.08
2011,Great Yarmouth,E07000145,Total,97277,40.3,36.01,16.58,5.48,1.63
2011,King's Lynn and West Norfolk,E07000146,Total,147451,40.91,37.08,15.9,4.8,1.31
2011,North Norfolk,E07000147,Total,101499,38.92,37.77,17.15,4.77,1.39
2011,Norwich,E07000148,Total,132512,44.87,35.42,14.05,4.42,1.24
2011,South Norfolk,E07000149,Total,124012,46.35,35.8,13.37,3.46,1.02
2011,Babergh,E07000200,Total,87740,46.59,35.83,13.25,3.45,0.89
2011,Forest Heath,E07000201,Total,59748,48.1,35.47,12.11,3.41,0.91
2011,Ipswich,E07000202,Total,133384,45.56,35.84,13.53,3.92,1.14
2011,Mid Suffolk,E07000203,Total,96731,47.88,35.31,12.85,3.12,0.83
2011,St Edmundsbury,E07000204,Total,111008,47.33,35.72,12.68,3.33,0.93
2011,Suffolk Coastal,E07000205,Total,124298,46.28,35.47,13.77,3.56,0.91
2011,Waveney,E07000206,Total,115254,41.08,36.29,16.09,5.06,1.49
2011,Camden,E09000007,Total,220338,53.41,30.56,10.42,4.16,1.44
2011,City of London,E09000001,Total,7375,55.76,32.19,8.72,2.58,0.76
2011,Hackney,E09000012,Total,246270,52.15,30.74,10.9,4.54,1.67
2011,Hammersmith and Fulham,E09000013,Total,182493,56.46,29.25,9.42,3.58,1.3
2011,Haringey,E09000014,Total,254926,49.62,33.57,11.16,4.18,1.48
2011,Islington,E09000019,Total,206125,51.61,30.75,11.21,4.74,1.68
2011,Kensington and Chelsea,E09000020,Total,158649,57.84,28.48,9.12,3.38,1.18
2011,Lambeth,E09000022,Total,303086,52.9,32.1,10.29,3.54,1.17
2011,Lewisham,E09000023,Total,275885,49.09,34.02,11.7,3.9,1.29
2011,Newham,E09000025,Total,307984,48.47,34.6,11.31,4.14,1.48
2011,Southwark,E09000028,Total,288283,53.49,31.22,10.38,3.66,1.25
2011,Tower Hamlets,E09000030,Total,254096,50.56,32.75,10.65,4.42,1.62
2011,Wandsworth,E09000032,Total,306995,57.39,29.95,8.89,2.85,0.92
2011,Westminster,E09000033,Total,219396,54.15,29.99,10.04,4.22,1.59
2011,Barking and Dagenham,E09000002,Total,185911,47.24,33.74,12.93,4.67,1.42
