date,geography,geography code,Rural Urban,Marital Status: All usual residents aged 16+; measures: Value,Marital Status: Single (never married or never registered a same-sex civil partnership); measures: Value,"value: ""Marital Status: Married; measures: Value""",Marital Status: In a registered same-sex civil partnership; measures: Value,"value: ""Marital Status: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value""","value: ""Marital Status: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value""","value: ""Marital Status: Widowed or surviving partner from a same-sex civil partnership; measures: Value"""
2011,Darlington,E06000005,Total,85357,31.73,46.82,0.16,2.82,10.74,7.73
2011,County Durham,E06000047,Total,425258,32.45,47.22,0.18,2.52,9.69,7.94
2011,Hartlepool,E06000001,Total,74228,34.4,44.74,0.16,2.39,9.96,8.36
2011,Middlesbrough,E06000002,Total,110409,39.44,41.41,0.14,2.71,8.82,7.48
2011,Northumberland,E06000057,Total,262162,27.63,52.08,0.18,2.58,9.31,8.22
2011,Redcar and Cleveland,E06000003,Total,111011,31.9,47.46,0.13,2.34,9.76,8.41
2011,Stockton-on-Tees,E06000004,Total,154503,33.19,47.54,0.16,2.64,9.32,7.16
2011,Gateshead,E08000037,Total,164716,35.36,44.4,0.32,2.66,9.36,7.9
2011,Newcastle upon Tyne,E08000021,Total,232203,46.53,36.23,0.25,2.45,8.0,6.55
2011,North Tyneside,E08000022,Total,165088,32.31,46.54,0.19,2.84,10.13,7.98
2011,South Tyneside,E08000023,Total,122200,34.24,43.8,0.13,2.83,10.27,8.73
2011,Sunderland,E08000024,Total,227314,35.28,45.11,0.14,2.43,9.16,7.88
2011,Blackburn with Darwen,E06000008,Total,113122,33.55,47.63,0.18,3.03,8.97,6.64
2011,Blackpool,E06000009,Total,116699,35.3,39.01,0.47,3.18,13.13,8.92
2011,Cheshire East,E06000049,Total,304374,28.46,52.09,0.18,2.2,9.34,7.73
2011,Cheshire West and Chester,E06000050,Total,271473,30.93,49.91,0.16,2.08,9.27,7.65
2011,Halton,E06000006,Total,100819,35.37,44.92,0.22,2.45,9.8,7.25
2011,Warrington,E06000007,Total,163477,31.45,49.66,0.15,2.36,9.42,6.97
2011,Allerdale,E07000026,Total,80155,27.97,51.98,0.17,1.91,9.21,8.76
2011,Barrow-in-Furness,E07000027,Total,56796,31.4,46.76,0.15,2.28,11.03,8.39
2011,Carlisle,E07000028,Total,89042,32.19,47.28,0.18,2.5,9.69,8.16
2011,Copeland,E07000029,Total,58613,29.71,51.03,0.18,1.94,9.17,7.97
2011,Eden,E07000030,Total,43976,26.87,54.42,0.18,1.69,8.61,8.23
2011,South Lakeland,E07000031,Total,87777,26.13,53.89,0.19,1.78,9.21,8.79
