date,geography,geography code,Rural Urban,Religion: All categories: Religion; measures: Value,Religion: Has religion; measures: Value,Religion: Christian; measures: Value,Religion: Buddhist; measures: Value,Religion: Hindu; measures: Value,Religion: Jewish; measures: Value,Religion: Muslim; measures: Value,Religion: Sikh; measures: Value,Religion: Other religion; measures: Value,Religion: No religion; measures: Value,Religion: Religion not stated; measures: Value
2011,Darlington,E06000005,Total,105564,69.56,67.37,0.29,0.3,0.04,0.92,0.34,0.29,24.08,6.36
2011,County Durham,E06000047,Total,513242,73.18,72.04,0.2,0.12,0.04,0.38,0.12,0.3,20.9,5.92
2011,Hartlepool,E06000001,Total,92028,71.33,69.92,0.17,0.18,0.01,0.75,0.11,0.19,22.28,6.39
2011,Middlesbrough,E06000002,Total,138412,71.59,63.23,0.27,0.43,0.03,7.05,0.41,0.18,22.25,6.16
2011,Northumberland,E06000057,Total,316028,69.69,68.56,0.18,0.11,0.05,0.32,0.16,0.31,23.93,6.38
2011,Redcar and Cleveland,E06000003,Total,135177,71.31,70.36,0.14,0.05,0.02,0.44,0.03,0.27,22.23,6.45
2011,Stockton-on-Tees,E06000004,Total,191610,71.52,68.22,0.2,0.35,0.05,2.16,0.33,0.2,22.39,6.09
2011,Gateshead,E08000037,Total,200214,70.41,66.97,0.21,0.25,1.5,1.05,0.18,0.26,23.85,5.73
2011,Newcastle upon Tyne,E08000021,Total,280177,65.38,56.44,0.61,1.12,0.24,6.27,0.44,0.27,28.32,6.3
2011,North Tyneside,E08000022,Total,200801,65.54,63.84,0.22,0.26,0.05,0.74,0.18,0.26,28.09,6.37
2011,South Tyneside,E08000023,Total,148127,73.09,70.27,0.15,0.17,0.04,1.93,0.29,0.24,21.09,5.82
2011,Sunderland,E08000024,Total,275506,72.54,70.29,0.2,0.22,0.03,1.32,0.3,0.19,21.91,5.55
2011,Blackburn with Darwen,E06000008,Total,147489,80.55,52.61,0.21,0.39,0.04,27.0,0.11,0.2,13.81,5.63
2011,Blackpool,E06000009,Total,142065,69.09,67.17,0.32,0.24,0.18,0.75,0.04,0.4,24.51,6.4
2011,Cheshire East,E06000049,Total,370127,70.65,68.88,0.24,0.36,0.16,0.66,0.08,0.29,22.69,6.66
2011,Cheshire West and Chester,E06000050,Total,329608,71.46,70.12,0.24,0.2,0.08,0.51,0.06,0.26,22.04,6.5
2011,Halton,E06000006,Total,125746,75.86,75.0,0.17,0.15,0.03,0.21,0.04,0.24,18.72,5.42
2011,Warrington,E06000007,Total,202228,73.73,71.41,0.23,0.55,0.07,1.04,0.18,0.25,20.42,5.85
2011,Allerdale,E07000026,Total,96422,76.11,75.41,0.19,0.04,0.02,0.2,0.01,0.24,17.3,6.59
2011,Barrow-in-Furness,E07000027,Total,69087,71.56,70.68,0.22,0.15,0.02,0.25,0.01,0.24,22.08,6.36
2011,Carlisle,E07000028,Total,107524,70.3,69.1,0.26,0.22,0.02,0.42,0.03,0.26,22.9,6.79
2011,Copeland,E07000029,Total,70603,79.76,78.87,0.21,0.11,0.02,0.32,0.01,0.21,14.37,5.87
2011,Eden,E07000030,Total,52564,71.62,70.7,0.25,0.08,0.06,0.22,0.01,0.3,20.7,7.68
2011,South Lakeland,E07000031,Total,103658,69.2,68.05,0.45,0.05,0.1,0.17,0.01,0.37,23.07,7.73
2011,Bolton,E08000001,Total,276786,77.16,62.72,0.21,2.16,0.06,11.7,0.04,0.26,17.19,5.65
2011,Bury,E08000002,Total,185060,75.44,62.7,0.24,0.44,5.57,6.09,0.16,0.23,18.58,5.98
2011,Manchester,E08000003,Total,503127,67.75,48.74,0.77,1.08,0.52,15.8,0.46,0.38,25.34,6.91
2011,Oldham,E08000004,Total,224897,78.36,59.66,0.16,0.55,0.05,17.73,0.03,0.18,16.08,5.56
2011,Rochdale,E08000005,Total,211699,75.28,60.55,0.19,0.3,0.1,13.9,0.03,0.2,18.9,5.82
2011,Salford,E08000006,Total,233933,71.55,64.17,0.44,0.64,3.29,2.58,0.14,0.3,22.27,6.17
2011,Stockport,E08000007,Total,283275,68.36,63.21,0.3,0.59,0.47,3.33,0.12,0.34,25.11,6.53
2011,Tameside,E08000008,Total,219324,70.49,63.98,0.23,1.47,0.04,4.42,0.05,0.3,23.56,5.95
2011,Trafford,E08000009,Total,226578,72.51,63.39,0.34,1.0,1.06,5.73,0.73,0.25,21.17,6.31
2011,Wigan,E08000010,Total,317849,79.15,77.78,0.22,0.21,0.02,0.68,0.02,0.22,15.3,5.54
2011,Burnley,E07000117,Total,87059,74.24,63.63,0.22,0.2,0.02,9.86,0.04,0.27,19.73,6.03
2011,Chorley,E07000118,Total,107155,77.21,75.34,0.26,0.18,0.04,1.05,0.02,0.31,17.19,5.6
2011,Fylde,E07000119,Total,75757,75.44,73.71,0.26,0.23,0.43,0.46,0.05,0.3,18.31,6.25
2011,Hyndburn,E07000120,Total,80734,77.37,66.39,0.2,0.09,0.01,10.33,0.05,0.31,16.97,5.66
2011,Lancaster,E07000121,Total,138375,68.48,65.85,0.39,0.32,0.09,1.28,0.07,0.48,24.45,7.07
2011,Pendle,E07000122,Total,89452,71.9,53.71,0.25,0.1,0.04,17.42,0.01,0.37,21.88,6.22
2011,Preston,E07000123,Total,140202,75.91,61.0,0.27,2.38,0.04,11.25,0.66,0.31,18.37,5.72
